1	최지훈	21SLF	0.849	214	118	1054.0	312	302	8	2	.994	2.65	5.50	3.70	0.00	0.00	0.12	9.32	10.59	-0.82	8.50	0.932	0.849
2	배정대	21KCF	0.757	144	139	1189.1	318	308	7	3	.991	2.38	3.56	2.04	0.00	0.00	-0.04	5.56	5.60	2.05	7.61	0.553	0.757
3	박해민	21삼CF	0.752	125	119	989.2	283	280	2	1	.997	2.56	7.25	-1.65	0.00	0.00	0.27	5.87	7.10	1.71	7.58	0.582	0.752
4	송민섭	21KLF	0.562	122	3	245.0	63	60	3	0	1.000	2.31	4.13	2.42	0.00	0.00	0.14	6.68	32.63	-1.04	5.64	0.666	0.562
5	김인태	21두LF	0.480	121	93	724.0	190	185	5	0	1.000	2.36	8.85	-0.73	0.00	0.00	0.44	8.55	14.14	-3.74	4.82	0.853	0.480
6	정진호	21한LF	0.449	41	38	302.2	82	77	3	2	.976	2.38	5.42	0.78	0.00	0.00	-0.26	5.94	23.51	-1.53	4.41	0.604	0.449
7	조수행	21두LF	0.412	103	11	276.0	101	99	1	1	.990	3.26	4.35	0.32	0.00	0.00	-0.06	4.61	19.98	-0.46	4.15	0.458	0.412
8	변상권	21키LF	0.373	65	41	372.2	100	98	2	0	1.000	2.42	5.02	0.32	0.00	0.00	0.17	5.51	17.71	-1.82	3.70	0.557	0.373
9	김호령	21KCF	0.350	61	44	394.0	127	124	3	0	1.000	2.90	0.83	1.80	0.00	0.00	0.19	2.82	8.56	0.67	3.49	0.282	0.350
10	호잉	21KCF	0.349	73	68	580.0	137	129	5	3	.978	2.08	5.20	1.29	0.00	0.00	-0.22	6.27	12.95	-2.80	3.48	0.629	0.349
11	구자욱	21삼RF	0.338	130	130	1085.0	259	247	9	3	.988	2.12	4.63	4.37	0.00	0.00	0.12	9.12	10.06	-5.68	3.44	0.896	0.338
12	김강민	21SCF	0.315	116	40	566.1	157	149	6	2	.987	2.46	0.63	1.69	0.00	0.00	-0.13	2.19	4.63	0.97	3.16	0.218	0.315
13	김민하	21한LF	0.273	42	28	258.1	76	71	2	3	.961	2.54	2.91	1.30	0.00	0.00	-0.46	3.75	17.37	-1.03	2.72	0.377	0.273
14	예진원	21키LF	0.259	55	34	303.2	85	82	3	0	1.000	2.52	3.22	-0.30	0.00	0.00	0.15	3.07	12.09	-0.52	2.55	0.312	0.259
15	이정후	21키CF	0.258	114	113	964.2	268	257	8	3	.989	2.47	-2.23	3.33	0.00	0.00	-0.14	0.96	1.19	1.71	2.67	0.093	0.258
