1	홍창기	22LCF	6.98	144	651	524	103	172	26	2	4	214	52	23	8	110	15	4	95	6	0	2	.328	.456	.408	.865	.417	152.6	6.98	4.47
2	이정후	21키CF	6.73	123	544	464	78	167	42	6	7	242	84	10	3	62	9	1	37	8	0	9	.360	.438	.522	.959	.441	165.2	6.73	3.17
3	강백호	21K1B	6.35	142	627	516	76	179	40	1	16	269	102	10	5	103	0	10	85	7	0	8	.347	.450	.521	.971	.443	165.5	6.35	5.78
4	최정	21S3B	6.14	134	555	436	92	121	17	1	35	245	100	8	6	84	22	3	102	9	1	12	.278	.410	.562	.972	.431	155.9	6.14	5.40
5	양의지	21NDH	5.74	141	570	480	81	156	29	2	30	279	111	2	1	69	11	5	60	12	0	10	.325	.414	.581	.995	.443	165.4	5.74	5.64
6	구자욱	21삼RF	5.01	139	610	543	107	166	30	10	22	282	88	27	4	48	6	3	98	9	1	12	.306	.361	.519	.881	.394	134.0	5.01	3.48
7	전준우	21롯LF	4.93	144	619	552	88	192	46	0	7	259	92	6	3	53	5	0	71	10	1	8	.348	.405	.469	.874	.406	140.4	4.93	4.09
8	알테어	21NCF	4.91	143	565	492	83	134	19	2	32	253	84	20	5	57	11	2	156	6	0	5	.272	.358	.514	.872	.393	132.0	4.91	2.11
9	김재환	21두LF	4.77	137	566	475	86	130	23	2	27	238	102	2	3	81	5	3	127	9	0	5	.274	.382	.501	.883	.401	148.2	4.77	2.69
10	김혜성	21키SS	4.73	144	634	559	99	170	20	3	3	205	66	46	4	64	1	3	97	8	0	10	.304	.371	.367	.737	.351	106.2	4.73	0.99
11	박건우	21두RF	4.62	126	525	458	82	149	31	2	6	202	63	13	0	50	11	2	72	16	0	6	.325	.400	.441	.841	.394	138.5	4.62	1.64
12	정은원	21한2B	4.46	139	608	495	85	140	22	5	6	190	39	19	11	105	1	1	105	9	4	3	.283	.407	.384	.791	.379	126.6	4.46	1.76
13	나성범	21NRF	3.91	144	623	570	96	160	29	1	33	290	101	1	2	38	11	2	155	5	0	4	.281	.336	.509	.844	.380	124.1	3.91	3.13
14	한유섬	21SRF	3.90	135	519	442	71	123	18	1	31	236	95	1	0	60	10	4	96	11	1	6	.278	.373	.534	.907	.404	138.6	3.90	1.99
